Nr	Format
0	Crystal structure (organic / organometallic / metal organic)
1	XRD data are presented as the structural formula of a molecule with numbered atoms or as a crystal lattice and tables
2	They are described in order of decreasing wavenumbers
3	The logarithm of the molar absorption coefficient or, if needed, molar absorption coefficient is presented on the ordinate axis
4	The issue of convergence must be adequately addressed
5	Sufficient technical details should be provided to allow a reader to reproduce the results of any calculations
6	Structural and Chemical Shift Data for Proteins and Nucleic Acids
7	Spectra
8	.pdb (chemical)
9	.wrl (VRML)
10	.nb (Mathematica notebook)
11	.tex can also be supplied
12	Single Crystal Diffraction Data
13	NMR Data
14	Proteomics Data
15	Powder Diffraction Data
16	Organic compounds
17	Magnetic measurements
18	Magnetic Measurements
19	Kinetic and Equilibrium Data
20	If the program is not available, commercially or otherwise, the authors must specify sufficient detail that the calculation could be reproduced
21	If the calculations were carried out with commercially available software, the investigator must list the source, version number, and force field employed
22	For HPLC, it is necessary to indicate the brand and model of the instrument, the detector, temperature, length and diameter of the column, the brand and particle size of the sorbent, and the composition of the eluent
23	Electronically deposited structures should be written in a format that is machine readable by readily available modelling or translating programs
24	Computations
25	Chemical shifts of nuclei 13C, 31P, etc., are given in accordance with IUPAC recommendations: a shift into the weak field with a “+;” and into a strong field, with a “–.” Signals are recorded in order of increasing δ values -
26	Changes in parameters, program options (e.g., dielectric constant, nonbonded cutoffs, etc.) affecting reproducibility of the calculation, and program constraints must be fully described in the article
27	CIF
28	Biological Data
29	Biological Assays
30	Any program modifications and any differences from the published version (including changes in parameters) must be fully described or available to other investigators upon request
31	An iterative calculation is considered to have converged when further iterations will not significantly alter the results
32	An adequate specification of the computer program used to carry out the calculations
33	A description of the results of any published calculation must be available for scientific scrutiny by other investigators
34	the precision and accuracy of replicate measurements or evaluate the performance characteristics of the mass spectrometer (see, for example, Sack, T. M., Lapp, R. L., Gross, M. L., and Kimble, B. J. Int. J. Mass Spectrom. Ion Proc. 1984, 61, 191-213)
35	scaled-down photocopies of the experimental spectra.
36	results of electronic structure calculations
37	reporting the efficiency of solar conversion devices
38	reporting electrochemical data and setup of batteries
39	reaction intermediates or intractable mixtures, or unstable species) may be published
40	protein sequences
41	other potential energy surface information
42	nucleic acid sequences
43	nomenclature
44	neuroimaging data
45	mp (Melting Point? S.G.)
46	microarray data
47	miRNA sequences and annotation
48	mass spectrometry
49	raw proteomics data
50	insertions, deletions, translocations
51	force field parameters
52	crystal structures
53	computations
54	computational details
55	combustion analysis
56	microprobe analysis
57	mass spectrometry
58	code
59	cif
60	chromatin immunoprecipitation data (deep-sequencing or microarray)
61	chemical compound data
62	checkCIF output files (combined into one PDF file)
63	bio-NMR, Software / code
64	bio-NMR
65	1H NMR data recorded in C6D6 listed as “residual internal C6D5H (δ 7.15)” (as an example)
66	NMR data files, which outlines the procedure for submitting FID files, acquisition data, and processing parameters to include in the Supporting Information
67	a brief description of data collection and solution and refinement of the structure should be placed in the Experimental Section
68	X-ray diffraction structure is not considered definitive proof of elemental composition, it is acceptable evidence for composition providing that the results of other physical methods concerning the characterization are conclusive
69	X-ray diffraction may provide the most unambiguous characterization of such compounds, evidence for elemental constitution and homogeneity needs to be presented
70	UV-vis
71	Trait data
72	chemical shifts must be available to the reviewer at time of submission, either as an available entry in the Biological Magnetic Resonance Data Bank or included directly as Supporting Information
73	This will typically include the pulse sequence code, parameter set, and other associated files, such as tables of gradient or pulse shapes
74	This journal encourages authors to adopt RRIDs when reporting key biological resources (antibodies, cell lines, model organisms and tools) in their manuscripts.
75	force field parameters
76	equations defining the model (or references to where such material is available in the open literature)
77	The yield of a compound obtained in an NMR tube reaction should be determined using an internal standard
78	X-ray powder diffraction data for new materials or for materials previously uncharacterized by this technique is encouraged
79	The method of assay and the exact experimental conditions of the assay should be provided as a reference to previous work, with or without modifications, or fully described if a new assay
80	The left ordinate axis presents transmittance (%) or absorbance (for IR spectra) or intensity (for Raman spectra)  In NMR spectra, millionths of a field (ppm) are given on the abscissa axis
81	The left ordinate axis presents transmittance (%) or absorbance (for IR spectra) or intensity (for Raman spectra)
82	The largest peak in the 1H NMR spectrum should normally arise from the compound, not the solvent
83	The guidelines are divided into three sections: NMR text, which outlines the preferred format for NMR data included in the Experimental Section
84	The folder should be named clearly, using the compound name (if available) and compound identifier, as referenced in the Experimental Section or Supporting Information
85	The expressions may be included in the manuscript or, if long and complex, as Supporting Information
86	The compound identifier used in the manuscript should be included
87	The acceptable uncertainty in a measurement by any analytical method must be adequate for the intended use of the data
88	The abstract may summarize geometric features of unusual interest but should not contain unit cell parameters
89	The absolute energies in hartrees that are computed at these geometries should not be given in the manuscript but should be included in the Supporting Information
90	High Resolution Mass Spectral Data for Formula Confirmation: For publication of exact- mass data that are used to confirm identities of synthetic and natural products, report the uncertainty in the accurate-mass measurement used for formula verification along with the result
91	Taxonomy data
92	Tables of essential interatomic distances and angles are not required but may be submitted (metric information for standard  structural components should not be included)
93	System models
94	Synthetic procedures
95	Supply all supplementary material in standard file formats
96	Sufficient experimental details must also be included to allow another researcher to reproduce the synthesis
97	Such compounds require more detailed characterization to ensure their validity
98	Submission of spectra (.doc, .docx, .txt, .pdf, .tif) is strongly recommended for all new and/or key compounds
99	NMR data files (FID files, acquisition data, processing parameters) is encouraged for all new and/or key compounds
100	Structure factors (except for proteins and nucleic acids) should not be submitted as Supporting Information
101	Structural Data Biological Macromolecules
102	Structural Data
103	Solid State Materials
104	Software
105	Small-molecule screening data
106	Small molecule, protein, protein complex data structural data
107	Sequence Data
108	See Requirements for Depositing X-Ray Crystallographic Data [PDF] for complete details on submission of CIFs and a list of file types accommodated by CCDC
109	SEM, TEM, STM
110	Routine infrared, electronic, NMR, and mass spectra of new compounds should be numerically summarized
111	Research Involving Human Subjects
112	Research Involving Animals
113	Requirements are similar for structures of nucleic acids, which should be deposited with the Nucleic Acid Database
114	Reproductions of spectra, or the relevant segments thereof, will be published only if concise numerical summaries are inadequate for the purposes of the paper
115	Reproducibility of computations should be a defining goal in reporting computational results
116	Reproducibility of computations should be a defining goal in reporting
117	Relevant information about the specimen used should be included
118	References to the methods upon which the software is based must also be provided
119	RNA sequence data
120	QSAR/QSPR and Proprietary Data
121	Purity of Tested Compounds
122	Purity and Yield  The yield and purity of all compounds must be reported, including the methods used to determine them
